Indicator,Urban,Rural,Total,Total NFHS4,State
26. Infant mortality rate (IMR),21,22.4,22,27.5,West Bengal
27. Under-five mortality rate (U5MR),23,26.2,25.4,31.8,West Bengal
Current Use of Family Planning Methods (currently married women age 15–49 years),,,,,West Bengal
28. Any method6  (%),77.5,73,74.4,70.9,West Bengal
29. Any modern method6  (%),61,60.6,60.7,57,West Bengal
30. Female sterilization (%),26.8,30.5,29.4,29.3,West Bengal
31. Male sterilization (%),0.1,0.1,0.1,0.1,West Bengal
32. IUD/PPIUD (%),2,2.3,2.2,1.2,West Bengal
33. Pill (%),20.1,20.4,20.3,20,West Bengal
34. Condom (%),10.1,5.6,7,5.9,West Bengal
35. Injectables (%),0.8,0.7,0.7,0.2,West Bengal
Unmet Need for Family Planning (currently married women age 15–49 years),,,,,West Bengal
36. Total unmet need7 (%),5.2,7.8,7,7.5,West Bengal
37. Unmet need for spacing7  (%),2,3.4,3,3,West Bengal
Quality of Family Planning Services,,,,,West Bengal
38. Health worker ever talked to female non-users about family planning (%),16.4,18.1,17.5,12.3,West Bengal
39. Current users ever told about side effects of current method8  (%),54,53.4,53.6,49.6,West Bengal
Maternal and Child Health,,,,,West Bengal
Maternity Care (for last birth in the 5 years before the survey),,,,,West Bengal
40. Mothers who had an antenatal check-up in the first trimester (%),74.9,71.8,72.6,54.9,West Bengal
41. Mothers who had at least 4 antenatal care visits (%),81.2,73.8,75.8,76.4,West Bengal
42. Mothers whose last birth was protected against neonatal tetanus9  (%),96,94.2,94.6,95.4,West Bengal
43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),64.4,61.8,62.5,28,West Bengal
44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),33.6,29.7,30.8,6,West Bengal
45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.7,99.1,98.4,97.4,West Bengal
46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),74.1,65.7,68,61.1,West Bengal
47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,675","2,686","2,683","7,919",West Bengal
48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),1.6,10.4,8.8,4.6,West Bengal
49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),79.1,75.9,76.8,,West Bengal
Delivery Care (for births in the 5 years before the survey),,,,,West Bengal
50. Institutional births (%),92.3,91.6,91.7,75.2,West Bengal
51. Institutional births in public facility (%),62.8,75.8,72.4,56.6,West Bengal
52. Home births that were conducted by skilled health personnel10  (%),2.7,2.6,2.6,6.8,West Bengal
53. Births attended by skilled health personnel10  (%),95.2,93.7,94.1,81.6,West Bengal
54. Births delivered by caesarean section (%),43.5,28.6,32.6,23.8,West Bengal
55. Births in a private health facility that were delivered by caesarean section (%),80.2,84.4,82.7,70.9,West Bengal
56. Births in a public health facility that were delivered by caesarean section (%),31.7,20.3,22.9,18.8,West Bengal
Child Vaccinations and Vitamin A Supplementation,,,,,West Bengal
57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11  (%),83.6,89.3,87.8,84.4,West Bengal
58. Children age 12-23 months fully vaccinated based on information from vaccination card only12  (%),88.1,91.8,90.8,92.5,West Bengal
59. Children age 12-23 months who have received BCG (%),97.5,99,98.6,97.5,West Bengal
60. Children age 12-23 months who have received 3 doses of polio vaccine13  (%),85.3,92.7,90.8,87.9,West Bengal
61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),93.1,95.6,95,92.7,West Bengal
62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),92.4,95.1,94.4,92.8,West Bengal
63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),35.8,47.5,44.4,,West Bengal
64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14  (%),3,1.4,1.8,,West Bengal
65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),90.3,92.6,92,86.4,West Bengal
66. Children age 9-59 months who received a vitamin A dose in the last 6 months (%),64.7,68.4,67.4,68.4,West Bengal
67. Children age 12-23 months who received most of their vaccinations in a public health facility (%),90.2,98.5,96.3,96.6,West Bengal
68. Children age 12-23 months who received most of their vaccinations in a private health facility (%),8.7,0.3,2.5,3.2,West Bengal
Treatment of Childhood Diseases (children under age 5 years),,,,,West Bengal
69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.9,6.7,6.5,5.9,West Bengal
70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),76.9,74.8,75.3,64.7,West Bengal
71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),36,35.9,36,20.8,West Bengal
72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),78.1,74.3,75.2,74.7,West Bengal
73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.1,3.1,2.8,3.3,West Bengal
74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),77.3,69.5,71.3,73.5,West Bengal
Child Feeding Practices and Nutritional Status of Children,,,,,West Bengal
75. Children under age 3 years breastfed within one hour of birth15  (%),60.7,59,59.4,47.4,West Bengal
76. Children under age 6 months exclusively breastfed16  (%),51.2,54,53.3,52.3,West Bengal
77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16  (%),75.6,65.5,67.8,52,West Bengal
"78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17   (%)",25.4,23.5,24,19.1,West Bengal
"79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",19.5,16,17,25.7,West Bengal
"80. Total children age 6-23 months receiving an adequate diet16, 17   (%)",24.9,22.9,23.4,19.6,West Bengal
81. Children under 5 years who are stunted (height-for-age)18  (%),32.1,34.4,33.8,32.5,West Bengal
82. Children under 5 years who are wasted (weight-for-height)18  (%),20.2,20.4,20.3,20.3,West Bengal
83. Children under 5 years who are severely wasted (weight-for-height)19  (%),7.9,6.9,7.1,6.5,West Bengal
84. Children under 5 years who are underweight (weight-for-age)18  (%),28.7,33.5,32.2,31.6,West Bengal
85. Children under 5 years who are overweight (weight-for-height)20  (%),6,3.6,4.3,2.1,West Bengal
Nutritional Status of Adults (age 15-49 years),,,,,West Bengal
86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21  (%),9.5,17.4,14.8,21.3,West Bengal
87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),11.5,16.8,15.1,19.9,West Bengal
88. Women who are overweight or obese (BMI ?25.0 kg/m2)21  (%),27.9,20.3,22.7,19.9,West Bengal
89. Men who are overweight or obese (BMI ?25.0 kg/m2) (%),20,14.5,16.2,14.2,West Bengal
90. Women who have high risk waist-to-hip ratio (?0.85) (%),80.1,72.1,74.7,,West Bengal
91. Men who have high risk waist-to-hip ratio (?0.90) (%),60.5,55.7,57.2,,West Bengal
Anaemia among Children and Adults,,,,,West Bengal
92. Children age 6-59 months who are anaemic (<11.0 g/dl)22  (%),63,71.3,69,54.2,West Bengal
93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22  (%),65.2,74.8,71.7,62.8,West Bengal
94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22  (%),60.3,63,62.3,53.6,West Bengal
95. All women age 15-49 years who are anaemic22  (%),65.1,74.4,71.4,62.5,West Bengal
96. All women age 15-19 years who are anaemic22  (%),64.7,73.2,70.8,62.2,West Bengal
97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%),30.9,42.4,38.9,30.3,West Bengal
98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%),27.6,42.8,38.7,31.7,West Bengal
Blood Sugar Level among Adults (age 15 years and above),,,,,West Bengal
Women,,,,,West Bengal
99.   Blood sugar level - high (141-160 mg/dl)23 (%),9.7,8.5,8.9,,West Bengal
100. Blood sugar level - very high (>160 mg/dl)23 (%),8.6,7.2,7.7,,West Bengal
101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23  (%),19.4,16.5,17.5,,West Bengal
Men,,,,,West Bengal
102. Blood sugar level - high (141-160 mg/dl)23 (%),11.2,10.6,10.8,,West Bengal
103. Blood sugar level - very high (>160 mg/dl)23  (%),10.6,9,9.5,,West Bengal
104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23  (%),23.1,20.4,21.3,,West Bengal
Hypertension among Adults (age 15 years and above),,,,,West Bengal
Women,,,,,West Bengal
105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.3,11.1,11.5,,West Bengal
"106. Moderately or severely elevated blood pressure (Systolic ?160 mm of Hg and/or
Diastolic ?100 mm of Hg) (%)",4.9,5.5,5.3,,West Bengal
"107. Elevated blood pressure (Systolic ?140 mm of Hg and/or Diastolic ?90 mm of Hg) or taking
medicine to control blood pressure (%)",21.5,19.9,20.5,,West Bengal
Men,,,,,West Bengal
108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.5,12.3,13.1,,West Bengal
"109. Moderately or severely elevated blood pressure (Systolic ?160 mm of Hg and/or
Diastolic ?100 mm of Hg) (%)",4.2,4.2,4.2,,West Bengal
"110. Elevated blood pressure (Systolic ?140 mm of Hg and/or Diastolic ?90 mm of Hg) or taking
medicine to control blood pressure (%)",22.3,19,20.1,,West Bengal
Screening for Cancer among Adults (age 30-49 years),,,,,West Bengal
Women,,,,,West Bengal
111. Ever undergone a screening test for cervical cancer (%),0.1,0.2,0.2,,West Bengal
112. Ever undergone a breast examination for breast cancer (%),0.2,0.1,0.2,,West Bengal
113. Ever undergone an oral cavity examination for oral cancer (%),0.2,0.1,0.2,,West Bengal
Men,,,,,West Bengal
114. Ever undergone an oral cavity examination for oral cancer (%),0.4,0.8,0.7,,West Bengal
Knowledge of HIV/AIDS among Adults (age 15-49 years),,,,,West Bengal
115. Women who have comprehensive knowledge24  of HIV/AIDS (%),30.8,12.3,18.5,18.6,West Bengal
116. Men who have comprehensive knowledge24  of HIV/AIDS (%),21.3,12.8,15.5,25.9,West Bengal
117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),73.3,53.8,60.4,53.9,West Bengal
118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),81.8,68.4,72.7,82.6,West Bengal
Women's Empowerment (women age 15-49 years),,,,,West Bengal
119. Currently married women who usually participate in three household decisions25 (%),96.1,85.8,88.9,89.9,West Bengal
120. Women who worked in the last 12 months and were paid in cash (%),20.2,20.2,20.2,22.8,West Bengal
121. Women owning a house and/or land (alone or jointly with others) (%),24.7,22.5,23.2,23.8,West Bengal
122. Women having a bank or savings account that they themselves use (%),82.9,73.2,76.5,43.5,West Bengal
123. Women having a mobile phone that they themselves use (%),71.9,39.1,50.1,41.8,West Bengal
124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26  (%),91.2,79.7,83,54.9,West Bengal
Gender Based Violence (age 18-49 years),,,,,West Bengal
125. Ever-married women age 18-49 years who have ever experienced spousal violence27  (%),22.9,28.7,27,33.1,West Bengal
126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.3,4,3.5,5,West Bengal
127. Young women age 18-29 years who experienced sexual violence by age 18 (%),6.7,10.9,9.7,8.9,West Bengal
Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),,,,,West Bengal
128. Women age 15 years and above who use any kind of tobacco (%),8,12.3,10.8,,West Bengal
129. Men age 15 years and above who use any kind of tobacco (%),44.7,49.9,48.1,,West Bengal
130. Women age 15 years and above who consume alcohol (%),0.8,1.3,1.1,,West Bengal
131. Men age 15 years and above who consume alcohol (%),18.9,17.7,18.1,,West Bengal
Population and Household Profile,,,,,Dadra & Nagar Haveli
1. Female population age 6 years and above who ever attended school (%),85.8,65,74.4,73,Dadra & Nagar Haveli
2. Population below age 15 years (%),24.4,26.4,25.4,26.5,Dadra & Nagar Haveli
"3. Sex ratio of the total population (females per 1,000 males)",775,875,827,813,Dadra & Nagar Haveli
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",705,940,817,983,Dadra & Nagar Haveli
5. Children under age 5 years whose birth was registered with the civil authority (%),96.6,99.5,98.1,93,Dadra & Nagar Haveli
6. Deaths in the last 3 years registered with the civil authority (%),91.5,99.6,95.4,,Dadra & Nagar Haveli
7. Population living in households with electricity (%),99.9,99.5,99.7,98.3,Dadra & Nagar Haveli
8. Population living in households with an improved drinking-water source1  (%),97.9,93.2,95.4,94.8,Dadra & Nagar Haveli
9. Population living in households that use an improved sanitation facility2 (%),68.5,63.3,65.8,44.4,Dadra & Nagar Haveli
10. Households using clean fuel for cooking3  (%),95.2,62.6,79.9,63.1,Dadra & Nagar Haveli
11. Households using iodized salt (%),98.1,78.4,89.1,80.8,Dadra & Nagar Haveli
12. Households with any usual member covered under a health insurance/financing scheme (%),39.5,66.3,52,25.3,Dadra & Nagar Haveli
13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),6.2,1.3,3.7,,Dadra & Nagar Haveli
Characteristics of Adults (age 15-49 years),,,,,Dadra & Nagar Haveli
14. Women who are literate4  (%),87.7,67.9,77.3,,Dadra & Nagar Haveli
15. Men who are literate4  (%),95.4,91.6,93.4,,Dadra & Nagar Haveli
16. Women with 10 or more years of schooling (%),48.6,24.2,35.8,40.3,Dadra & Nagar Haveli
17. Men with 10 or more years of schooling (%),58.8,40.7,49.4,52.6,Dadra & Nagar Haveli
18. Women who have ever used the internet (%),49.4,23.8,36.7,,Dadra & Nagar Haveli
19. Men who have ever used the internet (%),76.2,61.3,68.3,,Dadra & Nagar Haveli
Marriage and Fertility,,,,,Dadra & Nagar Haveli
20. Women age 20-24 years married before age 18 years (%),26.7,26.2,26.4,26.8,Dadra & Nagar Haveli
21. Men age 25-29 years married before age 21 years (%),20.6,7.4,12.6,29.9,Dadra & Nagar Haveli
22. Total fertility rate (children per woman),1.7,1.9,1.8,2.1,Dadra & Nagar Haveli
23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.9,5.8,4.3,8.5,Dadra & Nagar Haveli
24. Adolescent fertility rate for women age 15-19 years5,32,45,40,54,Dadra & Nagar Haveli
"Infant and Child Mortality Rates (per 1,000 live births)",,,,,Dadra & Nagar Haveli
25. Neonatal mortality rate (NNMR),20.3,22.5,21.4,13.9,Dadra & Nagar Haveli
26. Infant mortality rate (IMR),33.3,30.4,31.8,33.4,Dadra & Nagar Haveli
27. Under-five mortality rate (U5MR),43.8,30.4,37,39.9,Dadra & Nagar Haveli
Current Use of Family Planning Methods (currently married women age 15–49 years),,,,,Dadra & Nagar Haveli
28. Any method6  (%),63.5,72.4,68,36.2,Dadra & Nagar Haveli
29. Any modern method6  (%),53.6,66,59.8,35.8,Dadra & Nagar Haveli
30. Female sterilization (%),30.9,52.4,41.6,29.7,Dadra & Nagar Haveli
31. Male sterilization (%),0,0.3,0.2,0,Dadra & Nagar Haveli
32. IUD/PPIUD (%),3,1.5,2.2,1.7,Dadra & Nagar Haveli
33. Pill (%),3.5,2.8,3.1,1.2,Dadra & Nagar Haveli
34. Condom (%),15.6,7.8,11.7,3.2,Dadra & Nagar Haveli
35. Injectables (%),0.7,1.1,0.9,0,Dadra & Nagar Haveli
Unmet Need for Family Planning (currently married women age 15–49 years),,,,,Dadra & Nagar Haveli
36. Total unmet need7 (%),15.4,8.5,11.9,19.5,Dadra & Nagar Haveli
37. Unmet need for spacing7  (%),7.4,3.2,5.3,10.7,Dadra & Nagar Haveli
Quality of Family Planning Services,,,,,Dadra & Nagar Haveli
38. Health worker ever talked to female non-users about family planning (%),27.6,23.2,25.3,15.5,Dadra & Nagar Haveli
39. Current users ever told about side effects of current method8  (%),66.9,72.2,69.9,43.4,Dadra & Nagar Haveli
Maternal and Child Health,,,,,Dadra & Nagar Haveli
Maternity Care (for last birth in the 5 years before the survey),,,,,Dadra & Nagar Haveli
40. Mothers who had an antenatal check-up in the first trimester (%),71.8,84,77.7,66.9,Dadra & Nagar Haveli
41. Mothers who had at least 4 antenatal care visits (%),77.9,94.8,86.2,71.9,Dadra & Nagar Haveli
42. Mothers whose last birth was protected against neonatal tetanus9  (%),78.7,90.8,84.6,82.3,Dadra & Nagar Haveli
43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),56,63.7,59.8,42.3,Dadra & Nagar Haveli
44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),35.2,37.2,36.2,26.2,Dadra & Nagar Haveli
45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.8,99.9,98.8,89.8,Dadra & Nagar Haveli
46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),91.5,91.7,91.6,64.8,Dadra & Nagar Haveli
47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,132",329,677,692,Dadra & Nagar Haveli
48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),,,,6.1,Dadra & Nagar Haveli
49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),92.1,89.8,91,,Dadra & Nagar Haveli
Delivery Care (for births in the 5 years before the survey),,,,,Dadra & Nagar Haveli
50. Institutional births (%),96.4,96.7,96.5,88.5,Dadra & Nagar Haveli
51. Institutional births in public facility (%),60.4,82.9,71.9,60,Dadra & Nagar Haveli
52. Home births that were conducted by skilled health personnel10  (%),0.9,1.9,1.4,1.7,Dadra & Nagar Haveli
53. Births attended by skilled health personnel10  (%),97,98.5,97.8,86.1,Dadra & Nagar Haveli
54. Births delivered by caesarean section (%),29.9,16.1,22.9,16.1,Dadra & Nagar Haveli
55. Births in a private health facility that were delivered by caesarean section (%),44.5,37.3,42.5,33.2,Dadra & Nagar Haveli
56. Births in a public health facility that were delivered by caesarean section (%),23,13.3,17.3,11.1,Dadra & Nagar Haveli
Child Vaccinations and Vitamin A Supplementation,,,,,Dadra & Nagar Haveli
57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11  (%),90,100,94.9,50.5,Dadra & Nagar Haveli
58. Children age 12-23 months fully vaccinated based on information from vaccination card only12  (%),91.9,94.8,93.4,66.4,Dadra & Nagar Haveli
59. Children age 12-23 months who have received BCG (%),96.2,100,98.1,87.4,Dadra & Nagar Haveli
60. Children age 12-23 months who have received 3 doses of polio vaccine13  (%),92.4,100,96.1,63.3,Dadra & Nagar Haveli
61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),94.5,100,97.2,73.5,Dadra & Nagar Haveli
62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),92.6,100,96.2,80.9,Dadra & Nagar Haveli
63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),35.2,53.7,44.2,,Dadra & Nagar Haveli
64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14  (%),5.7,1.5,3.7,,Dadra & Nagar Haveli
65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),89,97.5,93.1,54.8,Dadra & Nagar Haveli
66. Children age 9-59 months who received a vitamin A dose in the last 6 months (%),86,85.8,85.9,61.8,Dadra & Nagar Haveli
67. Children age 12-23 months who received most of their vaccinations in a public health facility (%),94.8,100,97.3,85,Dadra & Nagar Haveli
68. Children age 12-23 months who received most of their vaccinations in a private health facility (%),5.2,0,2.7,15,Dadra & Nagar Haveli
Treatment of Childhood Diseases (children under age 5 years),,,,,Dadra & Nagar Haveli
69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.3,3,2.6,4.1,Dadra & Nagar Haveli
70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),,,,84.9,Dadra & Nagar Haveli
71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),,,,12.9,Dadra & Nagar Haveli
72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),,,,86.2,Dadra & Nagar Haveli
73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.6,0.1,0.3,1.5,Dadra & Nagar Haveli
74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),88.9,94.8,90.7,77.5,Dadra & Nagar Haveli
Child Feeding Practices and Nutritional Status of Children,,,,,Dadra & Nagar Haveli
75. Children under age 3 years breastfed within one hour of birth15  (%),19.4,31.8,25.9,50,Dadra & Nagar Haveli
76. Children under age 6 months exclusively breastfed16  (%),64.8,93.3,79.4,67.9,Dadra & Nagar Haveli
77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16  (%),,,43.3,19.6,Dadra & Nagar Haveli
"78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17   (%)",9.8,11.4,10.7,1.8,Dadra & Nagar Haveli
"79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",,,4,2.9,Dadra & Nagar Haveli
"80. Total children age 6-23 months receiving an adequate diet16, 17   (%)",9,11.3,10.2,2.1,Dadra & Nagar Haveli
81. Children under 5 years who are stunted (height-for-age)18  (%),32.9,45.7,39.4,37.2,Dadra & Nagar Haveli
82. Children under 5 years who are wasted (weight-for-height)18  (%),22.1,21.1,21.6,26.7,Dadra & Nagar Haveli
83. Children under 5 years who are severely wasted (weight-for-height)19  (%),5.1,3.5,4.3,11.5,Dadra & Nagar Haveli
84. Children under 5 years who are underweight (weight-for-age)18  (%),33.6,43.5,38.7,35.8,Dadra & Nagar Haveli
85. Children under 5 years who are overweight (weight-for-height)20  (%),1.2,2.5,1.9,3.9,Dadra & Nagar Haveli
Nutritional Status of Adults (age 15-49 years),,,,,Dadra & Nagar Haveli
86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21  (%),20.7,29,25.1,23.4,Dadra & Nagar Haveli
87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),19.2,17.5,18.3,16.3,Dadra & Nagar Haveli
88. Women who are overweight or obese (BMI ?25.0 kg/m2)21  (%),34,20.3,26.8,23.3,Dadra & Nagar Haveli
89. Men who are overweight or obese (BMI ?25.0 kg/m2) (%),27.6,16,21.4,26.3,Dadra & Nagar Haveli
90. Women who have high risk waist-to-hip ratio (?0.85) (%),46.2,44.7,45.4,,Dadra & Nagar Haveli
91. Men who have high risk waist-to-hip ratio (?0.90) (%),45.7,18.4,31.1,,Dadra & Nagar Haveli
Anaemia among Children and Adults,,,,,Dadra & Nagar Haveli
92. Children age 6-59 months who are anaemic (<11.0 g/dl)22  (%),75,76.8,75.8,82,Dadra & Nagar Haveli
93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22  (%),60.4,64.5,62.6,73.4,Dadra & Nagar Haveli
94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22  (%),61.1,60.4,60.7,62.3,Dadra & Nagar Haveli
95. All women age 15-49 years who are anaemic22  (%),60.5,64.4,62.5,72.9,Dadra & Nagar Haveli
96. All women age 15-19 years who are anaemic22  (%),60.1,66.3,63.9,75.9,Dadra & Nagar Haveli
97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%),17.9,30.3,24.6,27.6,Dadra & Nagar Haveli
98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%),12.1,60,37,36.1,Dadra & Nagar Haveli
Blood Sugar Level among Adults (age 15 years and above),,,,,Dadra & Nagar Haveli
Women,,,,,Dadra & Nagar Haveli
99.   Blood sugar level - high (141-160 mg/dl)23 (%),5.5,7.5,6.6,,Dadra & Nagar Haveli
100. Blood sugar level - very high (>160 mg/dl)23 (%),7.3,4.8,5.9,,Dadra & Nagar Haveli
101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23  (%),14,13.3,13.6,,Dadra & Nagar Haveli
Men,,,,,Dadra & Nagar Haveli
102. Blood sugar level - high (141-160 mg/dl)23 (%),7.6,8.3,8,,Dadra & Nagar Haveli
103. Blood sugar level - very high (>160 mg/dl)23  (%),8.5,6.9,7.7,,Dadra & Nagar Haveli
104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23  (%),17.2,15.7,16.4,,Dadra & Nagar Haveli
Hypertension among Adults (age 15 years and above),,,,,Dadra & Nagar Haveli
Women,,,,,Dadra & Nagar Haveli
105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),8.9,6.7,7.7,,Dadra & Nagar Haveli
"106. Moderately or severely elevated blood pressure (Systolic ?160 mm of Hg and/or
Diastolic ?100 mm of Hg) (%)",3.3,4.5,4,,Dadra & Nagar Haveli
"107. Elevated blood pressure (Systolic ?140 mm of Hg and/or Diastolic ?90 mm of Hg) or taking
medicine to control blood pressure (%)",16.5,13.6,14.9,,Dadra & Nagar Haveli
Men,,,,,Dadra & Nagar Haveli
108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.9,7.8,9.8,,Dadra & Nagar Haveli
"109. Moderately or severely elevated blood pressure (Systolic ?160 mm of Hg and/or
Diastolic ?100 mm of Hg) (%)",3.1,4.3,3.7,,Dadra & Nagar Haveli
"110. Elevated blood pressure (Systolic ?140 mm of Hg and/or Diastolic ?90 mm of Hg) or taking
medicine to control blood pressure (%)",17,13.9,15.4,,Dadra & Nagar Haveli
Screening for Cancer among Adults (age 30-49 years),,,,,Dadra & Nagar Haveli
Women,,,,,Dadra & Nagar Haveli
111. Ever undergone a screening test for cervical cancer (%),0.9,0,0.4,,Dadra & Nagar Haveli
112. Ever undergone a breast examination for breast cancer (%),0.5,0,0.2,,Dadra & Nagar Haveli
113. Ever undergone an oral cavity examination for oral cancer (%),0.5,0,0.3,,Dadra & Nagar Haveli
Men,,,,,Dadra & Nagar Haveli
114. Ever undergone an oral cavity examination for oral cancer (%),2.1,0,1.1,,Dadra & Nagar Haveli
Knowledge of HIV/AIDS among Adults (age 15-49 years),,,,,Dadra & Nagar Haveli
115. Women who have comprehensive knowledge24  of HIV/AIDS (%),31.4,19,25.3,16.4,Dadra & Nagar Haveli
116. Men who have comprehensive knowledge24  of HIV/AIDS (%),35.2,21.5,28.1,11.3,Dadra & Nagar Haveli
117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),75.8,51.7,63.8,45.6,Dadra & Nagar Haveli
118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),81.3,77.1,79.1,47.1,Dadra & Nagar Haveli
Women's Empowerment (women age 15-49 years),,,,,Dadra & Nagar Haveli
119. Currently married women who usually participate in three household decisions25 (%),95.7,87.4,91.9,81.5,Dadra & Nagar Haveli
120. Women who worked in the last 12 months and were paid in cash (%),23.5,39.5,31.5,19.2,Dadra & Nagar Haveli
121. Women owning a house and/or land (alone or jointly with others) (%),51.9,59.7,55.8,23.8,Dadra & Nagar Haveli
122. Women having a bank or savings account that they themselves use (%),78,89.3,83.6,46.5,Dadra & Nagar Haveli
123. Women having a mobile phone that they themselves use (%),75.4,45.5,60.5,46,Dadra & Nagar Haveli
124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26  (%),91,95.6,93.6,62.1,Dadra & Nagar Haveli
Gender Based Violence (age 18-49 years),,,,,Dadra & Nagar Haveli
125. Ever-married women age 18-49 years who have ever experienced spousal violence27  (%),21.8,10.8,16.8,30,Dadra & Nagar Haveli
126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),1.3,7.8,4.3,5.4,Dadra & Nagar Haveli
127. Young women age 18-29 years who experienced sexual violence by age 18 (%),4.4,4.1,4.3,6.4,Dadra & Nagar Haveli
Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),,,,,Dadra & Nagar Haveli
